SpriteRoom,MonsterRoom,SameRoom,NeighborRoom,Distance,State
0,3,0,1,188.89,ChangeRoom
0,3,0,1,188.303,ChangeRoom
0,3,0,1,187.72,ChangeRoom
0,3,0,1,187.07,ChangeRoom
0,3,0,1,186.394,ChangeRoom
0,3,0,1,185.689,ChangeRoom
0,3,0,1,184.795,ChangeRoom
0,3,0,1,184.069,ChangeRoom
0,3,0,1,183.471,ChangeRoom
0,3,0,1,182.622,ChangeRoom
0,3,0,1,181.925,ChangeRoom
0,3,0,1,181.094,ChangeRoom
0,3,0,1,180.272,ChangeRoom
0,3,0,1,179.451,ChangeRoom
0,3,0,1,178.584,ChangeRoom
0,3,0,1,177.704,ChangeRoom
0,3,0,1,176.815,ChangeRoom
0,3,0,1,175.901,ChangeRoom
0,3,0,1,174.998,ChangeRoom
0,3,0,1,173.957,ChangeRoom
0,3,0,1,173.199,ChangeRoom
0,3,0,1,172.266,ChangeRoom
0,3,0,1,171.314,ChangeRoom
0,3,0,1,170.445,ChangeRoom
0,3,0,1,169.505,ChangeRoom
0,3,0,1,168.487,ChangeRoom
0,3,0,1,167.715,ChangeRoom
0,3,0,1,165.72,ChangeRoom
0,3,0,1,163.27,ChangeRoom
0,3,0,1,160.634,ChangeRoom
0,3,0,1,158.015,ChangeRoom
0,3,0,1,155.579,ChangeRoom
0,3,0,1,153.236,ChangeRoom
0,3,0,1,151.087,ChangeRoom
0,3,0,1,149.059,ChangeRoom
0,3,0,1,147.155,ChangeRoom
0,3,0,1,145.386,ChangeRoom
0,3,0,1,143.75,ChangeRoom
0,3,0,1,142.215,ChangeRoom
0,3,0,1,140.795,ChangeRoom
0,3,0,1,139.436,ChangeRoom
0,3,0,1,138.159,ChangeRoom
0,3,0,1,136.993,ChangeRoom
0,3,0,1,135.855,ChangeRoom
